Timestamp,Posted,Duration,Updated_Duration,Summary
2021-07-31 21:30:00,2021-08-16,30,,Blue lights and sharp maneuvers.
2021-07-31 01:30:00,2021-08-16,Looking at the sky,,"When I was sitting outside I've seened 6 glowing orange lights coming from JFK airport in the sky,not making any sounds all six of them"
2021-07-29 23:30:00,2021-08-16,ongoing,,"Bright, white hot light or reflection off the sun, silent, not moving, old or circular shape."
2021-07-24 16:50:00,2021-08-16,Unsure,,Some kind of aircraft with an oval of light to accompany it.
2021-07-23 05:30:00,2021-08-16,1 mile,,Grasses laid down in weird patterns for over a mile
2021-07-21 03:01:00,2021-08-16,Ongoing,,Perfectly circular formation of even pure white light of intense luminosity
2021-07-20 09:18:00,2021-08-16,09:18,,UFO sighting during Blue Origin launch.
2021-07-17 20:30:00,2021-08-16,10 days+,,"1 blue line, 2 red glowing domes. Almost transparent entities (dim direct light behind them, illuminated by direct light above them.)"
2021-07-17 20:30:00,2021-08-16,9 days (most days sunset,,"Black/silver cones, dome top, red(0/20mph)/white(60mph). Aliens use invisibility cloaks are illuminated by light above/dim light behind"
2021-07-12 09:40:00,2021-08-16,Leaving work,,I was looking at the moon we had that night and as I looked down to the pictures I took I seen something I didn't see in the sky nor in
2021-07-11 13:48:00,2022-05-31,Picture taken phone,,Tic tac white round spots in sky over Crown Point from a picture taken from phone while driving
2021-07-10 09:20:00,2021-08-16,9:28,,2 lights/No Sound/ 45% between them. Hovering over neighborhood
2021-07-10 00:15:00,2021-08-16,8 days,,Many UFOs gathering in the night sky above Sarasota. Noticed 1 on 7/10/2021 and the sky has been full of them since.
2021-07-09 22:42:00,2021-10-19,1,,Small floating light/disk. Hovered for about a minute getting brighter and duller. It then started to move further away and disappeared
2021-07-08 21:22:00,2021-08-16,3:00,,Large as the setting sun round orange molten sphere moving through the sky
2021-07-05 10:00:00,2021-08-16,Still durating,,"I feel our bodies are taken by E.T'S AND ALSO THE MIND OR BODY MAY ALSO BE POSSESSED BY PAST SPIRITS OF THE EVIL OR WHAT NOT SEX, AND M"
2021-07-03 10:00:00,2021-08-16,2,,Fairly high in the sky my boyfriend and I spotted a bright orange light. It caught our attention as odd right from the start. It didn't
2021-08-26 15:30:00,2021-09-07,15,,Objects right before line of thunderstorms
2021-08-25 20:00:00,2021-09-07,24,,Tmz and new York post and celebritys and you and authoritys knows about the supernatural test of a goddess I can do and part why UFO wa
2021-08-25 20:00:00,2021-09-07,24,,Add to extremely real reports and evidence UFO watching me and I have paranormal mouth I know of a planet were 2 moons and if your look
2021-08-21 07:09:00,2022-06-22,Showed up in picture,,Taking pictures on sunrise over the ocean and I noticed later in my photograph
2021-08-20 02:00:00,2022-05-31,not sure-woke/ heard/saw,,Beings on our property nightly coming over our house. Have proof.
2021-08-15 22:38:00,2021-09-07,3:30,,Strange moving light in the sky
2021-08-15 18:30:00,2022-06-22,Flight from pit to las,,Took photos of thunderstorms in the Midwest/southwest region is the USA. Captured a tic-tac uap
2021-08-10 07:15:00,2021-08-16,At work,,So at work yesterday the sky was looking beautiful and I took out my phone and proceeded to take photos of the sky and when I clocked o
2021-08-08 20:00:00,2021-08-20,24,,In past reported there black holethen did things in space I told on but TSA security concerns June file 9th is needed 1 on earth 2018 s
2021-08-05 23:09:00,2021-08-16,1:13,,((NUFORC Note: Witness provides no detailed information. PD))
2021-08-05 22:32:00,2021-09-07,25,,UFO near Offutt AFB in NE.
2021-08-05 20:00:00,2021-09-07,24,,((HOAX))Top secret test !! Usa a patriot unmaned drone A mini gun will see the miricals test works Top secret test !
2021-08-05 20:00:00,2021-09-07,24,,((HOaX)) Warning don't do goddess test on roots just me and offspring from XXX ( don't laff) Check DNA as well
2021-08-05 20:00:00,2021-09-07,24,,((HOAX)) Nothing I can do but as nasa finds out this stuff I'm the white power as in white light Proficy and white mouth paranormal
2021-08-05 20:00:00,2021-09-07,24,,((HOAX))Studdys for nasa need to be proficys and history and goddess test like do exodest 2;2 in bibles Then watch the breeder
2021-08-05 20:00:00,2021-09-07,24,,((HOAX)) See the file registration Montgomery county sheriff's office supernatural then did you see a huge silver UFO ??
2021-08-05 20:00:00,2021-09-07,24,,((HOAX)) Medical medications I'm not supposed to and the seamen is god's ink The lithium is a garden formula.
2021-08-04 22:00:00,2021-08-20,3 events over 5 hours,,Holographic Grid of Light Display after Seeing Craft
2021-08-04 02:08:00,2021-08-16,it's been every night,,"it's been happening for the past year+ ""there are about 1-5 orbs or so they appear to be or like another star in the sky brig"
2021-08-03 21:27:00,2021-08-16,1:43,,3 craft in formation fly by the do a 180 phasing in and out of visibility I have a video.
2021-09-30 21:25:00,2021-10-19,01:00,,"Single, Bright Object moving like a Heartbeat Waveform for 30-45 Seconds.. Looked away for a few seconds, then it was gone."
2021-09-28 20:10:00,2022-06-22,Time seemed to stand stil,,While driving home from work I saw six very bright lights to my right and then a boomerang shaped craft was directly over my car.
2021-09-23 00:00:00,2021-10-19,Unsure,,Saw a round bright light in sky not moving or blinking like stars do when I zoomed in on video looked like a heat signature of a body i
2021-09-21 00:00:00,2021-10-19,Every night,,Every night I have these that stay above not house. Some hover and some actually fly around with red and green and blue lights flashing
2021-09-20 20:15:00,2021-10-19,flashes,,Flash of rectangular light in the eastern night sky in Wisconsin
2021-09-20 12:00:00,2021-10-19,Straight,,I saw a ufo in the air with a bright little light I didnt know what to do but just watch and at 0:00 I heard a noise and i put up my c
2021-09-15 20:45:00,2021-10-19,8,,"On this evening it was dark and partly cloudy. While listening to a live band outside and watching the SpaceX launch live on my phone,"
2021-09-15 00:00:00,2021-10-19,Multiple hours,,For multiple nights on clear nights I am able to observe to the west what appears to be a floating pyramid with just the outside edges
2021-09-13 21:00:00,2021-10-19,30,,West valley sighting heading 270 out past the white tanks rotating stationary ball of multiply vibrant colors at high alt.
2021-09-13 03:15:00,2021-10-19,Still happening,,At about 15 miles distance we observed a huge saucer with multitudes of lights ascending and then disappearing into the craft.
2021-09-12 03:00:00,2021-10-19,Still actually,,"They're characters in the form of spheres, plazma-like entities (both are in few or more different sizes)plazma-like ones are in multip"
2021-09-10 00:30:00,2021-10-19,10:00,,"A multi colored cigar shaped object emitting no sound and the size of a school bus, glided over the tope of my truck while stopped."
2021-09-10 00:30:00,2021-10-19,10:00,,Friday Morning: 9/10/2021 Time: 00:30 I had just gotten off work and was driving north on highway 17 in Brunswick. I noticed a bright
2021-09-04 12:45:00,2021-09-07,4:00,,It was about 1 in the afternoon going through Taco Bell looking up over Dodge dealership and seeing 7 tiny diamond shaped objects at fi
2021-10-25 20:45:00,2021-11-15,Continuing,,LARGE GLOWING OBJECT IN SKY
2021-10-25 20:45:00,2021-10-26,continuing,,"Weather conditions at time of sighting: Temperature 79 F, Barometric Pressure 29.94 in, Visibility 10 miles, Clouds Partly Cloudy, Dew"
2021-10-24 02:30:00,2021-10-26,Ongoing,,Heard footfalls outside window. Was having intimate time with my wife. Flash ofights and believed our photo had been taken. Stopped a
2021-10-23 19:10:00,2021-10-26,Nightly,,"Nightly I am observing multicolored flashing formation lights that are red,blue and green.They have been in the sky over Flagstaff for"
2021-10-20 11:33:00,2022-06-22,2019/2022 UFOs filmed,,Videos of UFOs YouTube channel Jeffrey Ventola
2021-10-07 16:00:00,2022-03-04,all day,,I was filming the sunset
2021-11-27 19:30:00,2021-12-19,I was not aware of it,,I've seen this online. Over Mexico. Very similar
2021-11-25 20:00:00,2022-06-22,Ship follow rear stableis,,Ship follow about thirty feet from our rear stableiser stableiser
2021-11-25 00:16:00,2022-03-04,Appeared on a photo,,Appears in three photos when night mode turned o the weird cloud of mist and color is in last picture where a dark area was in previous
2021-11-23 11:07:00,2022-05-31,5 days,,We have eight images of UFO that we saw in the backyard
2021-11-08 15:00:00,2022-03-04,not stated,,All-black rectangular object flying very low and slow
2021-11-07 18:15:00,2021-11-15,unknown,,"Two orange/red dots spotted hovering in the sky over League City/Dickinson, TX area"
2021-11-06 19:29:00,2021-11-15,1:00-1:30,,Triangle shaped orange lights UFO(s) flew at the same time and speed in formation in Bayville NJ.
2021-11-06 19:25:00,2021-11-15,Nightly,,Bright light staying in same area of the sky; higher than airplanes moving in quick sporadic formations.
2021-11-02 03:01:00,2022-06-22,9 months,,I have recorded hundreds of objects over the last 9 months some as close as 25 feet
2021-12-31 23:36:00,2022-03-04,Unknown - Photograph,,Photographs reveal UAP
2021-12-31 17:28:00,2022-03-04,1 mon,,Oval looking light
2021-12-26 14:15:00,2022-03-04,45,,Light was blinking off and on and it was hovering
2021-12-25 16:15:00,2022-03-04,The whole of sunset,,I took a picture of it
2021-12-25 01:15:00,2022-03-04,ongoing,,white plasma orbs blue streaks across sky over home and electrical tubes of light
2021-12-23 19:30:00,2022-03-04,1,,"light flying in a straight line very fast from east to west in bay hill, orlando"
2021-12-23 07:30:00,2022-03-04,1,,"i was in my pool, and saw a white light fly through the sky, going from east to west"
2021-12-18 00:00:00,2021-12-19,still active 12:35am,,"flying stick, the ends of it brighter. Recorded event"
2021-12-14 18:00:00,2021-12-19,Could have been a little,,At the stop sign look up so three lights that didn't look like a airplane
2021-12-12 18:00:00,2021-12-19,Started 6 months,,Multiple lights that turn on off always in the same formation each night
2021-12-09 16:30:00,2021-12-19,Google maping,,It's big
2021-12-04 15:00:00,2022-03-04,all day,,I was filming the sunset
2021-12-01 08:00:00,2021-12-19,5 years,,((HOAX)) UFO on a star with men in red armored uniforms about 60-100
2022-01-31 07:30:00,2022-03-04,Until 8:04 AM,,Very bright and pill shaped/horizontal flat
2022-01-27 21:57:00,2022-03-04,Night,,It's looked Like 5 or six white owls Flying in Perfect formation at very high Speeds and No sound .
2022-01-24 06:00:00,2022-03-04,Still there at 6:40am,,"Bright lite hovering but moving fast from side to side, up and down"
2022-01-19 20:30:00,2022-03-04,Daily Every night,,Hovering aircraft
2022-01-19 17:21:00,2022-03-04,driving,,noticed what looked like individual com trails with black dots
2022-01-18 07:54:00,2022-03-04,Still there,,I can only see it on camera not in person.
2022-01-13 17:33:00,2022-03-04,in a Photo I took,,A craft like thing with multiple lights is visible in the distant sky.
2022-01-12 19:30:00,2022-03-04,1:21,,Disk shaped ufo above downtown Pittsburgh
2022-01-10 19:30:00,2022-03-04,Every night,,Every night around the same time last two years it sits and givers for a hour or two then starts flying south south west
2022-01-10 19:00:00,2022-03-04,Last 4 months,,Every night there is 4 hovering aircraft over my home in close proximity
2022-01-10 00:39:00,2022-03-04,Mountain top of all lit u,,Bottom of the mountain was All lit up
2022-01-08 21:15:00,2022-03-04,Still,,"Three lights alternating from red, yellow and blue"
2022-01-08 01:33:00,2022-03-04,Started 1/8/22 to current,,I record it every night it shows up
2022-01-05 13:23:00,2022-03-04,1:05 minute five,,I was recording traffic with my android phone and later found the object when viewing recording.
2022-01-05 12:30:00,2022-03-04,I went to pompano beach,,Flu right at me!
2022-01-03 22:30:00,2022-03-04,"January 3,2022",,UFOs travel nightly over my property and house. Usually its quiet and I only see because Im looking outside.
2022-01-02 21:00:00,2022-03-04,Na,,Found bone-like object
2022-01-01 20:00:00,2022-03-04,Continuous,,Multiple donut shaped lights seen regularly hovering and moving over SE Belleview
2022-01-01 00:05:00,2022-03-04,1015 min.,,Series of 4 red-orange spheres moving SWNE
2022-02-28 03:53:00,2022-04-22,1:03,,One craft had red color the other was a white orb
2022-02-26 06:30:00,2022-03-04,Continuous,,Bright light hovering continuously. ((NUFORC Note: Object in video looks to us to be Venus. PD))
2022-02-24 23:01:00,2022-03-04,I. On my camera at 11 + 6,,Appears on a clip from blink camera
2022-02-24 11:12:00,2022-03-04,Human reptilian Jeffrey,,I need someone to call me he won't leave me an my dog alone because I have proof
2022-02-23 21:00:00,2022-03-04,30,,A bright white light that streaked across the sky from left to right.
2022-02-21 21:00:00,2022-03-04,40,,Looked like a star and moving around erratically.
2022-02-20 09:52:00,2022-03-04,"All the time, last week",,"This is not about ufos but about actual extraterrestrial life contacting me and I have video proof unedited, this is real first contact"
2022-02-20 04:55:00,2022-03-04,Steady position,,A bright light that hovers in the sky
2022-02-18 22:32:00,2022-03-04,Just noticed,,I was taking photo of moon . I just discovered the streaks in the photo afterwards
2022-02-18 21:30:00,2022-03-04,Several hours per night,,I encounter craft daily and can record them daily. I have nearly 20 gb of videos and nowhere can find the like.
2022-02-18 20:50:00,2022-03-04,15-20,,"Started out with two lights then separated out into multiple lights. Video has been cleaned by pro, results remarkable."
2022-02-18 07:40:00,2022-03-04,One picture,,"Took a pic of the moon with my camera.Later when I looked at the pic and zoomed in, I saw the object in the pic"
2022-02-17 05:47:00,2022-03-04,5 days or more,,It's a steady floating bright light that is hovering
2022-02-14 12:28:00,2022-03-04,5 times over hours,,Very clear day tic tac shaped object constantly appearing in the sky and disappearing.
2022-02-12 23:00:00,2022-03-04,Long time,,Different colers of light with a disc shape.moves when u try to take pics
2022-02-12 19:45:00,2022-03-04,Steady driving on freeway,,"6-8 bright lights all around triangle, low in sky, hovering"
2022-02-12 10:00:00,2022-03-04,Still there i have pics,,I have pics of things in the sky. I got them from my weather channel
2022-02-10 11:49:00,2022-04-22,N/a,,UFO in clouds
2022-02-10 11:48:00,2022-03-04,Found in pic,,In a cloud above my home
2022-02-10 11:10:00,2022-03-04,Saw it in frame 2 times,,Saw it briefly two times in frame taking pictures then looked back over pics and realized I capt. it tried recreating it with no luck
2022-02-09 05:07:00,2022-03-04,Until 7 AM,,It blinks randomly and the blink stops sometimes and it goes back to the left and right trying to hide in trees sometimes
2022-02-09 04:30:00,2022-03-04,Aliens2/9 UFO 2/9-present,,When it was dark I Saw 2 aliens one time and many UFO's in sky everyday for 4 days that seemed to be looking for something.
2022-02-06 23:24:00,2022-03-04,Took 1 photo,,"I was trying to take a pic of an unusual Moon shape that I had never seen.The Moon wd not show up in my phone camera lens, just Lights."
2022-02-06 21:00:00,2022-03-04,hours,,many blueish W like shapes flashing and slowly moving
2022-02-05 06:00:00,2022-03-04,Lasted till sun up,,Was out plowing and seen this in the sky started to record then it disappears and then return.
2022-02-05 01:52:00,2022-03-04,Very brief,,Rolling bright light in the sky . Fast.
2022-02-04 11:57:00,2022-03-04,Never saw till now,,"We took this pic in San Diego between 2006 and 2012. I found it Jan. 23, 2022"
2022-03-31 12:07:00,2022-04-22,A long time.,,I have managed to get in a Fight with Invading Extraterrestrials
2022-03-29 00:24:00,2022-04-22,Seen multiple times,,Ufo seemed to be following me
2022-03-27 23:30:00,2022-04-22,Ongoing,,Hovering and moving up and down in the same location.
2022-03-25 05:45:00,2022-04-22,Has been in sky every day,,A bright moving light in the sky-light has blue and pink hue. Moves fast in video
2022-03-25 04:25:00,2022-04-22,1:10:32,,I have possibly the longest orb sighting video
2022-03-24 23:59:00,2022-04-22,3,,we saw a very bright light out of nowhere.
2022-03-24 23:19:00,2022-04-22,20 min ago,,Saw dots flying through sky
2022-03-23 04:00:00,2022-04-22,I haveseenufossinceFeb22,,I have seen at least one UFO daily since Feb22
2022-03-19 22:08:00,2022-04-22,Short,,Was fast ahowed up on picturea
2022-03-19 05:00:00,2022-04-22,"Every night, March 4-6AM",,"At 4:25AM every night an orange light off the coast, with two accompaning red lights that stay equidistant, that move together as one."
2022-03-18 07:16:00,2022-04-22,Captured series of photos,,Took a series of moon photos over city lights and lake
2022-03-18 07:10:00,2022-04-22,"Not sure, I was driving.",,2 VERY bright orbs stationary in sky.
2022-03-17 20:30:00,2022-04-22,All day everday,,Compare with report from Athens Ga 2/18/22
2022-03-16 23:59:00,2022-04-22,4,,we saw a very bright light out of nowhere.
2022-03-15 19:30:00,2022-04-22,Not sure,,Filmed sunset on timelapse
2022-03-13 05:00:00,2022-04-22,Until the sun come up,,"There was a bright light moving around, at first I thought it might be a helicopter, but then realized it wasn't."
2022-03-11 03:00:00,2022-04-22,Till 5am,,Has happened every night for three years.
2022-03-09 06:55:00,2022-04-22,Ongoing (at 7:05am),,"Two bright oval objects, appear to be lined up, stationary, lights are ring-shaped."
2022-03-08 21:30:00,2022-04-22,I caught part of it on vi,,I saw aol portal in the sky open up and 10 spacecraft fly out of it
2022-03-08 18:56:00,2022-04-22,3-4 mii until we passed i,,White and green blinking lights on each aircraft in the triangle
2022-03-04 22:15:00,2022-04-22,Long,,Not sure what it is
2022-03-04 20:28:00,2022-04-22,3 years,,Continuous contact with the forces of the universe
2022-03-04 18:25:00,2022-04-22,Everyday for over 3yrs,,I realized over a year or so ago that all that was happening was coming from the sky.
2022-03-01 20:30:00,2022-05-31,Every night to date,,Every night I see a large orange ball of light with 2 to 3 smaller blue balls of light.
2022-04-30 05:35:00,2022-05-31,5:45am,,Glowing big starts/ ufos
2022-04-30 04:34:00,2022-06-22,Till complete day light,,Was night fishing all night when 2 artificial looking orbs appeared in the sky stationary
2022-04-30 04:30:00,2022-05-31,All morning,,First spotted over water then 6 miles down the road and an hour later the same lights appear at my house ((NUFORC Note: Two planets.))
2022-04-28 21:12:00,2022-05-31,N/a,,I had video going in the background and have been feeling strange I have original video photos etc
2022-04-25 06:24:00,2022-05-31,one picture,,I don't know what it is might not be a ufo
2022-04-25 04:23:00,2022-05-31,unsure,,Caught a weird sphere on my blink camera. Uncertain of what it is.
2022-04-21 22:00:00,2022-04-22,Long lots of white lights,,I saw this object flying over me it was long in shape lots of white lights then it was gone
2022-04-21 21:45:00,2022-05-31,Its lasted 20 seconds,,I was fishing late night & stopped this Bart slow moving object!
2022-04-21 01:53:00,2022-04-22,Last 5 months,,We are above Grants New Mexico stationery and moving every single night
2022-04-19 23:56:00,2022-04-22,All the time,,"IN DANGER Actual footage of UFO's and Alien on security system some paranormal, orbs, radio frequency and voices camera footage of all"
2022-04-16 23:30:00,2022-04-22,15,,My girlfriend and I saw 7 cross shaped crafts across the river.
2022-04-15 07:22:00,2022-04-22,Saw on tv and backyard,,Was seen on tv show street outlaws flashes and streaks accross sky
2022-04-14 15:23:00,2022-04-22,during photo,,iPhone photo reveals UFO
2022-04-14 08:10:00,2022-04-22,25,,Visit thier curious I think.
2022-04-12 20:50:00,2022-04-22,Saw this moving in sky,,Saw this
2022-04-11 21:00:00,2022-04-22,It was up in the sky.,,"At first there were two of them but when I ran to get my phone, one only stayed and that's the one I recorded."
2022-04-08 21:47:00,2022-04-22,Currently,,Saw the entire ufo tilt to the right and move further towards Lebanon
2022-04-06 05:00:00,2022-05-31,Until the sun came up,,My friend lives in the country part of Williamstown and one morning she was walking her dog around 5:00 a.m. and she saw this light in
2022-04-04 18:15:00,2022-04-22,I was on a plane,,I was flying over Folsom from Sacramento to Vegas and saw a pill shaped dark grey object suspended in the air that did not move.
2022-04-04 14:28:00,2022-04-22,"20 years, I am with Alien",,UFO
2022-04-03 21:20:00,2022-04-22,V shaped UFO with 3 light,,"My wife and I were on our porch looking at stars. Saw craft heading northward. no sound. 3 lights, non blinking. Faded away quickly."
2022-04-02 08:12:00,2022-04-22,I watched it for about 5,,"Not visible object moving fast in sky creating a super long, thick contrail."
2022-04-01 16:51:00,2022-04-22,ALL the time,,I am seeing UFO and recently caught an alien on my porch.
2022-05-31 22:34:00,2022-06-22,.5,,Red light gets sucked into white light
2022-05-30 15:54:00,2022-06-22,0:58,,"I looked up in to the sky and saw a white tac-tac shaped UFO moving, it was very high in the sky and had no exhaust."
2022-05-30 13:00:00,2022-06-22,Can't say everyone frozen,,July 1970 I was looking out apartment window saw massive disk hover close then zip away so fast I was suspended in time frozen
2022-05-30 05:05:00,2022-06-22,Until full daylight,,Two circular spinning lights
2022-05-30 04:00:00,2022-06-22,Still hovering,,A rectangular set of bright lights hovered over a smaller object with fewer and dimmer lights slowly traveling across the sky keeping e
2022-05-29 22:50:00,2022-06-22,It happens everytime i as,,"Every time I go outside at night and ask to see them, they show me, it looks like stars moving across the sky, and last night it was 10"
2022-05-29 22:30:00,2022-06-22,Its still going,,We thought at first it was a star but when we saw flashing lights We grabbed our binoculars and Saw that its flashing rainbow lights
2022-05-29 20:04:00,2022-06-22,short,,Captured by trail cam. ((NUFORC Note: belive the object is an insect in flight. PD))
2022-05-28 02:34:00,2022-06-22,4 nights in a row,,"Strange activity in cherry valley, 4 nights in a row several videos of white orbs doing impossible maneuvers!"
2022-05-27 17:15:00,2022-06-22,Still on going,,"There has been a stationary round object floating for over an hour and is still there, confirmed it is not Venus with the app"
2022-05-26 03:44:00,2022-06-22,I see them everyday,,I've been seeing them everyday for over a month
2022-05-25 22:00:00,2022-06-22,Caught on night camera,,CAught on night camera And it shows a disk with lights and in one photo shows rays of light coming downward almost like rays from the s
2022-05-21 20:07:00,2022-06-22,Slow moving object,,2 oval shape very lit up that was very slow moving
2022-05-19 22:45:00,2022-06-22,We seen a flying observ,,It was towards me
2022-05-18 19:33:00,2022-06-22,reflected until sunset,,Noticed object when I glanced up while playing with family outside.
2022-05-16 23:30:00,2022-06-22,Not sure- trail cam pic,,Trail camera picture
2022-05-16 18:26:00,2022-06-22,Caught on a panoramic pic,,Panoramic photo taken for scenery purposes. Upon reviewing the UFO was seen. Photo prior (1 minute before) object was not present
2022-05-15 23:07:00,2022-06-22,Pic from I- Phone,,Unexplainable
2022-05-15 21:31:00,2022-06-22,Captured on a photo,,Was taking photos of moon starting to emerge from lunar eclipse. ((NUFOC Note: Lens flare?? PD))
2022-05-15 21:07:00,2022-06-22,On camera only,,"Im not sure what it is, I just tried to take a photo of the eclipse with my phone and, while the first was successful, this one wasnt."
2022-05-15 21:05:00,2022-06-22,At peak of bloodmoon,,Taking pictures of the lunar eclipse I photographed a craft that wasn't visible to the naked eye. Had a energy field around it. Metalic
2022-05-14 21:55:00,2022-06-22,Over a year,,Neon vortices at night and unexplainable energy creeping indoors.
2022-05-13 20:00:00,2022-06-22,Various,,UFO
2022-05-11 23:17:00,2022-05-31,12:45,,Jolting dot of light in the sky
2022-05-11 13:12:00,2022-05-31,Took photo over contrail,,Did not see by eye. Saw in photo taken.
2022-05-11 05:00:00,2022-06-22,Hours?,,I've seen many different ufos over the past month. I've taken photos of all of them.
2022-05-06 05:45:00,2022-05-31,10,,"See notes, bright swath of light, spilling out of dark sky, another bright spot coming down to land from it"
2022-05-06 05:30:00,2022-05-31,Captured in photo,,Spotted while taking photos of space x launch
2022-05-04 05:47:00,2022-05-31,Hours,,I SAW SYMBOLS LETTERS IN A REPEAT PATTERN
2022-05-01 22:57:00,2022-05-31,Until 5:31 AM on 5/2/2022,,A strange entity emitting varying degrees of bright white light appeared in RING security videos for over 8 hours.
2022-05-01 12:00:00,2022-06-22,1000,,Mankind
2022-05-01 06:00:00,2022-05-31,6:35,,Two lights shaped like dots flying above us and and fast as hell
2022-06-20 16:02:00,2022-06-22,Picture,,Looking out the garage
2022-06-18 21:38:00,2022-06-22,1:06,,Caught on Ring camera and have video of craft coming and going
2022-06-18 19:43:00,2022-06-22,Not sure,,I was just taking a picture of the sunset.
2022-06-17 05:34:00,2022-06-22,Caught on camera,,Caught on camera. ((NUFORC Note: Lens flare?? PD))
2022-06-17 00:11:00,2022-06-22,I have many minutes,,I keep seeing this craft moving on multiple nights.
2022-06-14 20:41:00,2022-06-22,Photograph,,"Took picture of the sunset, then looked at it on my phone, thought, oh cool, there's a plane contrail .. pulled it up closer to see"
2022-06-10 21:12:00,2022-06-22,Not sure,,I saw3 lights that appeared to be connected and in a round shape. I took a couple pics from inside the car.
2022-06-10 18:10:00,2022-06-22,2,,Orb like shapes moving all directions and hovering
2022-06-08 01:27:00,2022-06-22,Previous report,,Basically it was hey some guy who isn't me but heres where or how a government plays it as it didn't happen.
2022-06-07 20:41:00,2022-06-22,Photograph,,"Took picture of the sunset, then looked at it on my phone, thought, oh cool, there's a plane contrail .. pulled it up closer to see"
2022-06-05 02:00:00,2022-06-22,Unbleiveabla,,Terrifying
2022-06-05 01:30:00,2022-06-22,Every night since,,I am watching the same 3 crafts form a triangle above my apartment every night. One over the ocean.
2022-06-04 23:03:00,2022-06-22,25,,Looking a crescent moon and a weird shaped appeared.
2022-06-04 21:04:00,2022-06-22,8,,Tic Tac Tube turning into a ball of light.
2022-06-04 03:38:00,2022-06-22,Currently Happening,,UFO was seemingly bouncing and flashing in mid-air.
2022-06-03 22:30:00,2022-06-22,Multiple times a night,,I see multiple UFO everynight
2022-06-02 22:00:00,2022-06-22,Presently still happening,,"Randomly moving lights in the sky moving above, through, and below clouds."
2022-06-02 16:41:00,2022-06-22,My whole life,,"Over the last year I have beennoting the effects of what I now consider to be an invasion from a coalition of advanced beings, and I"
